Session,Song,Outliers
1,Tydyy,4
1,Tydyy,0
1,Tydyy,2
1,Tydyy,2
1,Tydyy,0
1,Tydyy,0
1,Tydyy,4
1,Tydyy,0
1,Tydyy,10
1,Tydyy,8
1,Tydyy,6
1,Tydyy,0
1,Tydyy,4
1,Tydyy,2
1,Tydyy,2
1,Tydyy,3
1,Tydyy,0
1,Tydyy,2
1,Tydyy,2
2,Uulaa,0
2,Uulaa,0
2,Uulaa,2
2,Uulaa,0
2,Uulaa,0
2,Uulaa,3
2,Uulaa,9
2,Uulaa,2
2,Uulaa,4
2,Uulaa,2
2,Uulaa,5
2,Uulaa,0
2,Uulaa,7
2,Uulaa,0
2,Uulaa,6
2,Uulaa,4
2,Uulaa,3
2,Uulaa,0
2,Uulaa,4
3,Tydyy,2
3,Tydyy,0
3,Tydyy,2
3,Tydyy,2
3,Tydyy,0
3,Tydyy,0
3,Tydyy,0
3,Tydyy,8
3,Tydyy,7
3,Tydyy,2
3,Tydyy,4
3,Tydyy,2
3,Tydyy,17
3,Tydyy,0
3,Tydyy,0
3,Tydyy,3
3,Tydyy,4
3,Tydyy,0
3,Tydyy,5
4,Uulaa,4
4,Uulaa,2
4,Uulaa,15
4,Uulaa,0
4,Uulaa,0
4,Uulaa,0
4,Uulaa,0
4,Uulaa,0
4,Uulaa,2
4,Uulaa,4
4,Uulaa,0
4,Uulaa,0
4,Uulaa,8
4,Uulaa,4
4,Uulaa,0
4,Uulaa,2
4,Uulaa,0
4,Uulaa,2
4,Uulaa,3
5,Tydyy,0
5,Tydyy,2
5,Tydyy,9
5,Tydyy,0
5,Tydyy,4
5,Tydyy,2
5,Tydyy,2
5,Tydyy,0
5,Tydyy,6
5,Tydyy,2
5,Tydyy,10
5,Tydyy,0
5,Tydyy,0
5,Tydyy,6
5,Tydyy,4
5,Tydyy,5
5,Tydyy,0
5,Tydyy,2
5,Tydyy,2
6,Uulaa,0
6,Uulaa,0
6,Uulaa,6
6,Uulaa,0
6,Uulaa,0
6,Uulaa,0
6,Uulaa,0
6,Uulaa,0
6,Uulaa,2
6,Uulaa,4
6,Uulaa,6
6,Uulaa,5
6,Uulaa,5
6,Uulaa,6
6,Uulaa,7
6,Uulaa,2
6,Uulaa,0
6,Uulaa,4
6,Uulaa,11
